자치구,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세
종로구,2342,3577,4540,5199,9113,12383,10882,8440,9783,9411,12414,11501,11332,9357,6218,5285,4328,2316,760,201
중구,2687,2943,2898,3258,6727,10810,11558,9306,9104,7665,9725,9343,9763,8570,5766,4725,3669,1892,704,172
용산구,5068,6021,6394,7226,11634,18469,20723,16687,16789,14499,18203,16114,16085,13241,8650,6972,5633,3272,1150,265
성동구,7856,9037,8340,9511,17016,23963,23946,21718,22162,18764,23174,21275,21339,17239,11350,9057,6892,3425,1036,217
광진구,6290,8918,11253,12551,22861,35988,31547,23396,24921,23182,27592,25564,25030,20506,13282,10289,7362,3566,1135,278
동대문구,7940,10362,10801,11806,25711,31161,26698,22764,25776,22919,27412,25128,25881,22675,15631,12717,9556,4524,1347,283
중랑구,8519,10595,11541,12419,19480,30562,31756,26061,28233,24906,31984,32746,34562,28756,18909,14360,10256,4624,1462,371
성북구,9796,14301,16497,18505,31557,33136,29275,26838,32296,31140,38592,32357,31080,26920,18518,15112,11803,5608,1773,439
강북구,4546,7029,9012,10129,16825,21330,19048,15949,19890,20012,25817,24448,25605,22251,16211,13549,10260,4551,1309,295
도봉구,5568,8674,10569,11803,16584,20855,20022,17585,21487,21027,27537,26726,28137,24841,16221,12743,9926,4651,1571,363
노원구,10622,15803,21427,25745,33328,32973,31961,29061,36722,38679,46871,39570,39142,33975,22567,17146,12976,6677,2351,532
은평구,10135,14139,16807,18732,25747,36048,36022,30331,36047,34194,41421,36416,37166,31678,22049,17786,13352,6393,1851,399
서대문구,7339,10184,10689,11434,21425,27007,24012,20895,23039,21214,25955,22938,22512,18849,12887,10789,8817,4474,1416,294
마포구,8692,11936,12677,13798,23274,35626,34825,28982,29868,27066,30967,25067,23415,18942,12955,10772,8625,4366,1479,315
양천구,8991,16388,23414,24320,24108,28416,27490,25582,35658,36875,40464,34359,33837,28804,19142,13269,8673,4212,1611,350
강서구,13345,17844,20484,21333,29402,49776,53819,42835,46070,40350,43918,39261,42813,37545,25456,18150,11944,5909,2179,543
구로구,10031,12403,13994,14224,20044,30827,32787,28312,30670,27732,32043,29879,31082,27579,19805,14752,9921,4562,1384,325
금천구,4480,5404,6085,6842,11623,23351,22385,15569,15387,14157,18412,19102,20153,16172,10874,8211,5739,2530,807,166
영등포구,10377,11800,11307,11646,19498,37515,39977,30917,29285,24702,28768,26607,26552,22583,15682,12225,9010,4518,1468,298
동작구,8463,11608,12472,13522,25531,38194,33403,26463,28478,26143,30329,26982,27092,23490,16822,13593,9589,4670,1507,363
관악구,7080,9400,11193,13886,35441,71938,55349,33091,32482,29223,34530,31276,32305,28113,21080,16734,11922,5037,1506,317
서초구,10409,17409,22689,22117,22132,27766,29084,27879,36305,35939,37401,27807,25186,22819,16340,12706,7966,3886,1397,364
강남구,12030,20975,30906,30902,28998,38587,41044,37727,49465,49512,49496,36271,32526,30284,22048,16780,10024,4888,1831,490
송파구,17488,25826,29166,28287,34107,50512,55032,49757,57238,49225,53700,47334,47851,41887,27571,19105,11594,5652,2213,530
강동구,12920,17972,19859,19002,22892,33560,35330,33285,39872,34510,36962,33799,36389,32027,21014,14594,8994,4180,1562,367
